county,state,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,mean_2010,mean_2011,mean_2012,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019
los angeles county,CA,Los Angeles-Long Beach-Anaheim,6,37,1,388761.1666666667,348483.3333333333,357882.5,457618.75,495295.2083333333,549238.75,594416.0833333334,625883.3333333334,655496.0,649950.0
cook county,IL,Chicago-Naperville-Elgin,17,31,2,237752.33333333334,200448.66666666666,176254.16666666666,192800.0,221143.33333333334,228870.66666666666,247591.25,264671.875,283437.0,284948.5
harris county,TX,Houston-The Woodlands-Sugar Land,48,201,3,153459.875,152171.16666666666,156130.29166666666,179537.45833333334,218333.79166666666,269140.25,275431.7083333333,273575.0,281246.5833333333,278245.0
maricopa county,AZ,Phoenix-Mesa-Scottsdale,4,13,4,160582.08333333334,144094.58333333334,183338.33333333334,231784.58333333334,250773.33333333334,274845.2916666667,289602.5416666667,298189.8333333333,307783.25,309700.0
san diego county,CA,San Diego-Carlsbad,6,73,5,395866.6666666667,359503.125,366282.3333333333,440133.25,485479.1666666667,544329.1666666666,580741.6666666666,593070.8333333334,631412.7083333334,637000.0
orange county,CA,Los Angeles-Long Beach-Anaheim,6,59,6,511279.1666666667,455958.3333333333,473400.0,580699.8333333334,630802.9166666666,679898.5833333334,710856.25,753556.5,786946.9166666666,772000.0
kings county,NY,New York-Newark-Jersey City,36,47,7,456083.3333333333,433302.0833333333,444490.0833333333,447916.6666666667,514187.5,644833.3333333334,737311.6666666666,773749.9166666666,743453.125,725000.0
miami-dade county,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,8,231450.0,231450.0,231450.0,257207.91666666666,285815.6666666667,326496.9583333333,375047.0,385945.0,396615.8333333333,399450.0
dallas county,TX,Dallas-Fort Worth-Arlington,48,113,9,162079.91666666666,150425.0,155155.83333333334,177074.16666666666,197752.29166666666,235206.66666666666,271688.4166666667,302096.3333333333,309087.5,302450.0
queens county,NY,New York-Newark-Jersey City,36,81,10,381835.0,344833.3333333333,305335.5,317856.1666666667,354739.75,402173.7916666667,464791.625,514166.5833333333,543499.7916666666,558250.0
riverside county,CA,Riverside-San Bernardino-Ontario,6,65,11,231019.79166666666,218949.0,231225.0,297740.375,331524.8333333333,346796.3333333333,365640.8333333333,383940.0,405901.6666666667,408400.0
san bernardino county,CA,Riverside-San Bernardino-Ontario,6,71,12,176083.33333333334,170029.58333333334,176500.0,218329.16666666666,257733.33333333334,279233.3333333333,298758.4166666667,315058.3333333333,337216.6666666667,342450.0
clark county,NV,Las Vegas-Henderson-Paradise,32,3,13,147396.625,128075.0,136307.375,165858.33333333334,196206.33333333334,222958.25,241415.20833333334,275169.5833333333,301641.2083333333,301000.0
king county,WA,Seattle-Tacoma-Bellevue,53,33,14,367637.4166666667,315473.5833333333,334475.0,382758.3333333333,405214.5833333333,441896.6666666667,494387.0,560026.6666666666,630530.2083333334,629975.0
wayne county,MI,Detroit-Warren-Dearborn,26,163,15,59525.0,43386.666666666664,39883.291666666664,49208.333333333336,63562.5,72201.91666666667,80020.83333333333,97733.25,113387.45833333333,111350.0
tarrant county,TX,Dallas-Fort Worth-Arlington,48,439,16,155574.70833333334,155266.0,160782.0,174147.04166666666,191884.58333333334,213559.75,231859.16666666666,251172.91666666666,266679.8333333333,269367.5
santa clara county,CA,San Jose-Sunnyvale-Santa Clara,6,85,17,581611.875,553482.3333333334,585234.0833333334,681883.4166666666,731609.0416666666,825935.375,893275.5,960785.4166666666,1119650.625,1074220.0
broward county,FL,Miami-Fort Lauderdale-West Palm Beach,12,11,18,223754.16666666666,203152.125,214563.75,221525.20833333334,223670.5,248900.0,272214.0833333333,291816.6666666667,300607.4166666667,299900.0
bexar county,TX,San Antonio-New Braunfels,48,29,19,157141.66666666666,159944.375,164056.41666666666,185461.20833333334,214591.45833333334,242099.70833333334,246392.33333333334,255134.83333333334,248306.33333333334,250120.0
new york county,NY,New York-Newark-Jersey City,36,61,20,811916.6666666666,855841.6666666666,964416.6666666666,1067916.6666666667,1318540.8333333333,1678458.3333333333,1818750.0,1765666.6666666667,1568750.0,1565000.0
philadelphia county,PA,Philadelphia-Camden-Wilmington,42,101,21,154108.33333333334,147025.0,141545.83333333334,143283.33333333334,150741.625,154866.66666666666,161599.95833333334,185512.66666666666,210679.125,212500.0
alameda county,CA,San Francisco-Oakland-Hayward,6,1,22,419815.1666666667,378827.375,408904.1666666667,511838.6666666667,571447.3333333334,636890.1666666666,697073.0,750531.0833333334,803313.25,799400.0
middlesex county,MA,Boston-Cambridge-Newton,25,17,23,366683.3333333333,355605.2083333333,368749.1666666667,393787.0416666667,424841.0416666667,452625.0,494688.25,546413.25,564190.8333333334,554950.0
suffolk county,NY,New York-Newark-Jersey City,36,103,24,393666.6666666667,384010.0,387481.4166666667,401365.8333333333,430010.8333333333,438724.3333333333,460073.3333333333,495140.75,509858.5833333333,514500.0
sacramento county,CA,Sacramento--Roseville--Arden-Arcade,6,67,25,310026.36363636365,310026.36363636365,310026.36363636365,310026.36363636365,310026.36363636365,310026.36363636365,329325.0,345099.1666666667,367918.6666666667,367309.5
bronx county,NY,New York-Newark-Jersey City,36,5,26,326495.4166666667,310416.6666666667,296425.25,305287.5,339616.6666666667,350416.6666666667,347249.9166666667,332650.0,355649.9583333333,386475.0
nassau county,NY,New York-Newark-Jersey City,36,59,27,479241.5,447291.6666666667,431500.0,441745.7083333333,464999.5416666667,491302.5,533833.3333333334,565054.3333333334,595583.0833333334,599000.0
palm beach county,FL,Miami-Fort Lauderdale-West Palm Beach,12,99,28,238037.5,210670.95833333334,203007.58333333334,252033.33333333334,278432.5,292745.8333333333,318874.5833333333,338908.25,347535.5833333333,349450.0
cuyahoga county,OH,Cleveland-Elyria,39,35,29,117500.0,110725.0,107862.5,107591.66666666667,112249.70833333333,115200.0,121791.66666666667,131979.58333333334,143567.16666666666,141653.0
hillsborough county,FL,Tampa-St. Petersburg-Clearwater,12,57,30,162983.33333333334,155114.25,170561.66666666666,196284.41666666666,202444.95833333334,226466.66666666666,236727.5,250383.625,262234.375,262450.0
allegheny county,PA,Pittsburgh,42,3,31,139125.0,135750.0,135208.33333333334,143452.08333333334,150708.33333333334,157991.625,159583.33333333334,172925.0,185750.0,179949.75
oakland county,MI,Detroit-Warren-Dearborn,26,125,32,154929.08333333334,139666.66666666666,155968.66666666666,199758.33333333334,236366.58333333334,251075.41666666666,277195.4166666667,300828.3333333333,307903.125,297450.0
franklin county,OH,Columbus,39,49,33,137607.16666666666,130441.58333333333,126214.875,129626.875,144018.79166666666,161565.375,176653.95833333334,197232.45833333334,214937.70833333334,214625.0
hennepin county,MN,Minneapolis-St. Paul-Bloomington,27,53,34,218941.66666666666,192516.66666666666,199979.16666666666,238334.66666666666,260391.25,291291.5833333333,307379.1666666667,336996.25,356694.1666666667,367075.0
orange county,FL,Orlando-Kissimmee-Sanford,12,95,35,160116.66666666666,150150.25,163902.41666666666,217640.83333333334,235256.04166666666,252537.79166666666,273354.9166666667,305361.9166666667,316172.5,312500.0
fairfax county,VA,Washington-Arlington-Alexandria,51,59,36,447005.9583333333,445879.1666666667,488595.8333333333,513391.1666666667,519304.1666666667,521561.9166666667,547775.0,578795.25,592535.1666666666,604975.0
contra costa county,CA,San Francisco-Oakland-Hayward,6,13,37,465048.0,465048.0,465048.0,465048.0,492506.25,528923.5833333334,565862.0,585782.3333333334,609079.1666666666,587450.0
salt lake county,UT,Salt Lake City,49,35,38,230154.16666666666,203496.75,220200.0,249491.625,270472.5,304577.5,328117.5833333333,346573.875,370787.4166666667,375000.0
travis county,TX,Austin-Round Rock,48,453,39,241102.125,234541.66666666666,248727.25,291127.0833333333,345867.9166666667,369543.3333333333,382387.875,386629.875,373974.0416666667,359875.0
saint louis county,MO,St. Louis,29,189,40,157766.66666666666,144979.16666666666,146537.41666666666,151308.33333333334,154916.20833333334,167418.75,185829.16666666666,202958.33333333334,213113.08333333334,207400.0
pima county,AZ,Tucson,4,19,41,190604.91666666666,162417.375,165217.75,183851.41666666666,196933.875,199231.66666666666,206333.0,225137.20833333334,236591.25,240950.0
montgomery county,MD,Washington-Arlington-Alexandria,24,31,42,369549.5416666667,368277.5833333333,411624.1666666667,428749.1666666667,434495.8333333333,428141.25,460274.0833333333,500730.25,505624.5416666667,485000.0
honolulu county,HI,Urban Honolulu,15,3,43,482029.1666666667,447000.0,447808.3333333333,483290.0416666667,511162.5,565628.8333333334,609162.5,634297.2916666666,634791.6666666666,644000.0
westchester county,NY,New York-Newark-Jersey City,36,119,44,518635.1666666667,455004.1666666667,437903.0833333333,457283.2916666667,477441.6666666667,512875.0,537145.6666666666,587008.2916666666,631862.2083333334,620000.0
milwaukee county,WI,Milwaukee-Waukesha-West Allis,55,79,45,149929.16666666666,136016.66666666666,124324.54166666667,131585.41666666666,134054.08333333334,139491.66666666666,149045.75,149333.33333333334,159007.91666666666,157400.0
fresno county,CA,Fresno,6,19,46,190678.33333333334,162362.25,165879.16666666666,219170.79166666666,246312.5,259200.70833333334,263868.3333333333,280398.3333333333,295674.0,293737.5
shelby county,TN,Memphis,47,157,47,142250.0,142250.0,142250.0,142250.0,142365.83333333334,141397.91666666666,149681.25,157083.33333333334,169791.66666666666,159900.0
fulton county,GA,Atlanta-Sandy Springs-Roswell,13,121,48,214815.83333333334,184189.58333333334,197508.33333333334,233537.5,251530.0,263677.5,303165.2083333333,352591.6666666667,377011.25,354950.0
mecklenburg county,NC,Charlotte-Concord-Gastonia,37,119,49,188834.375,176980.875,182767.5,206976.66666666666,217769.0,245586.625,284089.2916666667,298195.625,311562.5,309650.0
erie county,NY,Buffalo-Cheektowaga-Niagara Falls,36,29,50,144565.41666666666,146179.16666666666,147341.66666666666,143967.75,147341.66666666666,155037.5,155133.25,164031.66666666666,169864.16666666666,169900.0
dupage county,IL,Chicago-Naperville-Elgin,17,43,51,270741.6666666667,238471.625,229932.91666666666,258995.41666666666,291045.0,299795.6666666667,325625.0,340587.625,346230.0,344450.0
fairfield county,CT,Bridgeport-Stamford-Norwalk,9,1,52,504213.9166666667,465429.0833333333,464316.5833333333,492974.9166666667,505300.0,509566.6666666667,549207.9166666666,565657.5,599102.0833333334,598450.0
pinellas county,FL,Tampa-St. Petersburg-Clearwater,12,103,53,169783.33333333334,149383.25,145750.0,161874.95833333334,181787.08333333334,204200.0,237557.25,273393.9583333333,281504.1666666667,279700.0
bergen county,NJ,New York-Newark-Jersey City,34,3,54,500858.3333333333,453232.375,442591.625,457073.2083333333,459485.8333333333,480957.5,507023.9583333333,542719.9583333334,556551.3333333334,537000.0
marion county,IN,Indianapolis-Carmel-Anderson,18,97,55,112625.0,110208.33333333333,107395.83333333333,115125.0,121045.83333333333,121546.5,122008.125,141120.83333333334,161056.25,166950.0
wake county,NC,Raleigh,37,183,56,238529.41666666666,229507.91666666666,232532.5,254343.75,272272.2083333333,295307.0,318365.0,343262.5833333333,355044.5833333333,345000.0
hartford county,CT,Hartford-West Hartford-East Hartford,9,3,57,233545.83333333334,223016.66666666666,219437.5,220283.33333333334,221349.91666666666,228301.83333333334,234662.5,238508.33333333334,240470.83333333334,232400.0
duval county,FL,Jacksonville,12,31,58,143150.0,133370.0,137298.33333333334,157735.0,164969.58333333334,176000.70833333334,183569.58333333334,199278.16666666666,219007.91666666666,217995.0
prince georges county,MD,Washington-Arlington-Alexandria,24,33,59,210679.16666666666,181646.45833333334,184677.5,218086.5,244369.41666666666,251881.625,277592.4166666667,296206.0833333333,303816.5833333333,300701.0
new haven county,CT,New Haven-Milford,9,9,60,242341.66666666666,230866.66666666666,223183.33333333334,231945.83333333334,235158.33333333334,234190.75,242700.0,249141.58333333334,259849.91666666666,252400.0
macomb county,MI,Detroit-Warren-Dearborn,26,99,61,124950.0,124950.0,124950.0,124950.0,138320.83333333334,144462.5,152824.95833333334,167924.95833333334,179699.91666666666,174950.0
kern county,CA,Bakersfield,6,29,62,156137.08333333334,137907.5,140416.25,184887.5,214485.54166666666,229199.58333333334,234699.58333333334,243075.0,252805.41666666666,247225.0
ventura county,CA,Oxnard-Thousand Oaks-Ventura,6,111,63,497931.2083333333,434900.0,430451.375,524058.3333333333,562920.8333333334,594708.2916666666,617391.6666666666,641385.9583333334,644619.5833333334,629900.0
middlesex county,NJ,New York-Newark-Jersey City,34,23,64,315506.0833333333,293987.5,279541.5833333333,292666.6666666667,298668.9166666667,303345.75,307637.5,321870.8333333333,338125.8333333333,332450.0
gwinnett county,GA,Atlanta-Sandy Springs-Roswell,13,135,65,167372.375,141300.0,141917.75,181103.33333333334,200884.58333333334,218639.58333333334,237617.875,255245.5,280215.375,287000.0
san francisco county,CA,San Francisco-Oakland-Hayward,6,75,66,758416.6666666666,693528.1666666666,756902.0833333334,843575.0,917041.6666666666,1028607.3333333334,1127750.0,1185908.3333333333,1235705.0833333333,1272000.0
baltimore county,MD,Baltimore-Columbia-Towson,24,5,67,237004.16666666666,216591.66666666666,220834.70833333334,225554.125,235489.58333333334,231537.5,241262.5,253752.91666666666,265850.0,254999.5
hamilton county,OH,Cincinnati,39,61,68,122028.08333333333,119066.66666666667,119866.66666666667,120589.83333333333,130466.66666666667,135463.58333333334,145433.33333333334,166525.0,186104.16666666666,191700.0
el paso county,TX,El Paso,48,141,69,145425.0,147898.75,149567.5,149920.83333333334,155525.83333333334,156865.41666666666,160010.83333333334,163775.0,168133.33333333334,172999.5
montgomery county,PA,Philadelphia-Camden-Wilmington,42,91,70,288895.8333333333,270920.4166666667,263724.9166666667,266270.8333333333,272741.6666666667,283898.375,300770.8333333333,313400.0,325531.0,327500.0
worcester county,MA,Worcester,25,27,71,243295.83333333334,232537.5,231970.83333333334,244141.66666666666,248449.91666666666,254208.33333333334,270145.8333333333,291125.0,309133.2916666667,304949.5
pierce county,WA,Seattle-Tacoma-Bellevue,53,53,72,241095.75,208716.58333333334,215777.08333333334,242476.66666666666,256312.5,263059.5833333333,283383.3333333333,312238.3333333333,352980.3333333333,352500.0
essex county,NJ,New York-Newark-Jersey City,34,13,73,358441.6666666667,312937.5,283983.3333333333,288020.0,294808.2916666667,320685.0,307051.0416666667,300095.8333333333,342824.9166666667,329950.0
collin county,TX,Dallas-Fort Worth-Arlington,48,85,74,226273.04166666666,227565.83333333334,242558.04166666666,271470.5833333333,305446.75,345388.3333333333,370159.7916666667,385202.625,390592.7083333333,383310.5
hidalgo county,TX,McAllen-Edinburg-Mission,48,215,75,146915.125,144660.0,141327.08333333334,149116.66666666666,156891.66666666666,167662.25,175282.08333333334,180394.58333333334,183976.25,185000.0
monroe county,NY,Rochester,36,55,76,140408.33333333334,135616.66666666666,137217.83333333334,139166.66666666666,137733.33333333334,133450.0,141787.29166666666,142900.0,152333.33333333334,149900.0
essex county,MA,Boston-Cambridge-Newton,25,9,77,333225.0,319762.5,333556.7916666667,367666.6666666667,382400.0,378794.5833333333,404682.5,437283.3333333333,454849.9166666667,446950.0
jefferson county,KY,Louisville/Jefferson County,21,111,78,141145.41666666666,132941.66666666666,130504.16666666667,129895.83333333333,134968.75,151787.45833333334,163699.08333333334,178393.75,207673.29166666666,211625.0
multnomah county,OR,Portland-Vancouver-Hillsboro,41,51,79,254187.41666666666,233714.58333333334,240500.0,271089.5416666667,291762.5,323645.8333333333,361441.6666666667,406666.0833333333,427932.4166666667,424725.0
suffolk county,MA,Boston-Cambridge-Newton,25,25,80,361213.6666666667,350316.6666666667,375716.6666666667,418700.0,442908.3333333333,485245.8333333333,566833.3333333334,646666.6666666666,688158.25,684000.0
oklahoma county,OK,Oklahoma City,40,109,81,150683.75,146050.0,148133.08333333334,156544.25,168874.04166666666,197987.58333333334,210276.70833333334,213799.25,228313.83333333334,227450.0
san mateo county,CA,San Francisco-Oakland-Hayward,6,81,82,718836.6666666666,675695.3333333334,713000.0,846643.25,880122.9166666666,1026556.8333333334,1129442.4166666667,1238752.8333333333,1372345.6666666667,1304970.0
snohomish county,WA,Seattle-Tacoma-Bellevue,53,61,83,281502.4583333333,239741.66666666666,256973.75,301932.5,335390.4166666667,354149.5416666667,381391.6666666667,425595.0,476157.9166666667,477000.0
lake county,IL,Chicago-Naperville-Elgin,17,97,84,273745.8333333333,239699.58333333334,221639.16666666666,240990.75,263662.0416666667,285166.1666666667,312706.8333333333,329399.5833333333,329505.7916666667,324500.0
dekalb county,GA,Atlanta-Sandy Springs-Roswell,13,89,85,160866.66666666666,126404.16666666667,124483.25,162484.20833333334,168170.83333333334,172775.0,192335.5,229451.45833333334,260495.08333333334,249500.0
cobb county,GA,Atlanta-Sandy Springs-Roswell,13,67,86,193813.45833333334,172283.66666666666,181000.0,216000.0,235393.375,250033.33333333334,283141.0833333333,299690.125,314677.5833333333,312000.0
san joaquin county,CA,Stockton-Lodi,6,77,87,301380.125,301380.125,301380.125,301380.125,301380.125,317250.0,345338.25,356680.9583333333,377750.5,375975.0
will county,IL,Chicago-Naperville-Elgin,17,197,88,219876.66666666666,188445.83333333334,178225.0,189843.33333333334,198820.70833333334,213525.0,230103.66666666666,239999.45833333334,251858.5,249950.0
jackson county,MO,Kansas City,29,95,89,127763.875,119060.41666666667,106525.0,110591.25,116754.66666666667,127837.5,147280.83333333334,165778.91666666666,175445.83333333334,177400.0
norfolk county,MA,Boston-Cambridge-Newton,25,21,90,400053.6666666667,381325.0,394941.2083333333,428116.6666666667,454587.2916666667,474308.125,519108.2916666667,550491.6666666666,560379.1666666666,548400.0
denton county,TX,Dallas-Fort Worth-Arlington,48,121,91,207778.75,208486.33333333334,219767.0,251750.0,284931.0,332688.4166666667,342257.5416666667,368880.0833333333,370099.6666666667,356786.75
bernalillo county,NM,Albuquerque,35,1,92,212148.625,191035.25,190985.29166666666,197401.33333333334,201178.75,207849.91666666666,217641.25,221194.58333333334,227601.5,229000.0
jefferson county,AL,Birmingham-Hoover,1,73,93,141216.66666666666,139633.33333333334,140245.83333333334,147095.83333333334,159391.66666666666,162400.0,164816.58333333334,187262.5,194362.5,200981.5
hudson county,NJ,New York-Newark-Jersey City,34,17,94,345009.4166666667,306110.0833333333,293495.8333333333,311900.2083333333,330322.2083333333,356736.4166666667,410398.5,455733.25,526677.25,539885.0
monmouth county,NJ,New York-Newark-Jersey City,34,25,95,413026.5833333333,391966.375,377033.3333333333,389583.125,414126.0833333333,418899.9166666667,422216.25,440263.7083333333,469154.1666666667,467000.0
davidson county,TN,Nashville-Davidson--Murfreesboro--Franklin,47,37,96,169766.66666666666,156028.04166666666,157033.33333333334,181313.58333333334,217673.95833333334,267433.3333333333,308688.75,337949.1666666667,337862.5,319900.0
providence county,RI,Providence-Warwick,44,7,97,208825.0,184850.0,176808.33333333334,184291.66666666666,193476.04166666666,202475.0,214200.0,230329.5,243301.375,241650.0
bucks county,PA,Philadelphia-Camden-Wilmington,42,17,98,340482.25,317587.5,310410.0,319830.2916666667,325202.0,341221.1666666667,355041.5,374199.5,380480.75,374950.0
el paso county,CO,Colorado Springs,8,41,99,218741.66666666666,209541.25,215430.5,228205.41666666666,250045.83333333334,268113.8333333333,281212.1666666667,313689.625,330233.3333333333,334450.0
baltimore city,MD,Baltimore-Columbia-Towson,24,510,100,124760.41666666667,111350.0,103983.25,110133.33333333333,111007.79166666667,114791.66666666667,123432.5,138762.75,158433.29166666666,149950.0
lee county,FL,Cape Coral-Fort Myers,12,71,101,172398.375,178625.0,189854.16666666666,198758.33333333334,213824.75,241266.66666666666,262150.0,272378.75,276782.5,279937.5
tulsa county,OK,Tulsa,40,143,102,154420.83333333334,148876.08333333334,146546.58333333334,151747.75,161848.29166666666,173456.66666666666,185075.0,203480.125,202743.75,204186.5
kent county,MI,Grand Rapids-Wyoming,26,81,103,121304.16666666667,117846.875,121487.5,130833.33333333333,139700.0,157541.66666666666,186250.0,216879.08333333334,247160.41666666666,260925.0
polk county,FL,Lakeland-Winter Haven,12,105,104,129316.66666666667,123114.16666666667,126345.41666666667,143782.29166666666,157191.66666666666,168767.08333333334,179441.58333333334,197922.5,215432.25,219900.0
district of columbia,DC,Washington-Arlington-Alexandria,11,1,105,350063.7083333333,360338.125,405707.5,444069.9583333333,448483.3333333333,476520.0,540912.5,552570.8333333334,577070.4166666666,579950.0
denver county,CO,Denver-Aurora-Lakewood,8,31,106,258887.5,243037.5,268237.5,307680.8333333333,366797.7083333333,423311.625,451133.3333333333,475925.0,477916.6666666667,472995.0
fort bend county,TX,Houston-The Woodlands-Sugar Land,48,157,107,224086.04166666666,221503.25,230338.25,273959.0,320867.7916666667,350402.625,334376.9583333333,333380.4166666667,325230.3333333333,319993.75
ocean county,NJ,New York-Newark-Jersey City,34,29,108,294316.5833333333,276041.5833333333,266681.25,267416.4166666667,279591.625,271958.3333333333,281662.375,292553.3333333333,298915.6666666667,295500.0
arapahoe county,CO,Denver-Aurora-Lakewood,8,5,109,217645.83333333334,212709.5,231937.5,250701.875,299861.8333333333,342908.5833333333,368478.0416666667,387697.9166666667,399426.6666666667,400000.0
delaware county,PA,Philadelphia-Camden-Wilmington,42,45,110,217733.33333333334,198299.91666666666,188591.66666666666,182532.83333333334,186135.41666666666,191003.95833333334,194140.33333333334,202464.58333333334,224770.83333333334,222450.0
bristol county,MA,Providence-Warwick,25,5,111,287945.8333333333,249737.5,247666.66666666666,266491.5833333333,278566.6666666667,279650.0,292358.3333333333,314932.8333333333,330862.5,329675.0
johnson county,KS,Kansas City,20,91,112,217254.16666666666,209831.25,203137.5,201543.125,229245.83333333334,276920.7916666667,316841.6666666667,337969.75,367462.9166666667,385030.0
brevard county,FL,Palm Bay-Melbourne-Titusville,12,9,113,151266.66666666666,135750.0,132049.16666666666,149256.66666666666,171841.33333333334,192879.08333333334,216203.75,237029.16666666666,249553.95833333334,254850.0
summit county,OH,Akron,39,153,114,128157.5,119441.66666666667,122373.95833333333,117050.0,116783.70833333333,118266.66666666667,123091.66666666667,135424.54166666666,142974.91666666666,136475.0
new castle county,DE,Philadelphia-Camden-Wilmington,10,3,115,219713.75,206691.66666666666,199303.95833333334,212907.875,226066.66666666666,233290.83333333334,231137.875,234307.875,245417.91666666666,244900.0
anne arundel county,MD,Baltimore-Columbia-Towson,24,3,116,345030.8333333333,328264.5833333333,341912.5,363670.375,363465.4166666667,349220.0,360228.25,378323.7916666667,390219.1666666667,383800.0
union county,NJ,New York-Newark-Jersey City,34,39,117,343637.5,299246.8333333333,269916.5416666667,278616.5833333333,289316.5833333333,301758.3333333333,307733.3333333333,316658.3333333333,346908.3333333333,359450.0
montgomery county,OH,Dayton,39,113,118,95200.0,92662.5,90187.5,91633.33333333333,101291.66666666667,98391.66666666667,106400.0,113770.83333333333,122052.08333333333,119800.0
jefferson county,CO,Denver-Aurora-Lakewood,8,59,119,264364.5416666667,251279.79166666666,264945.8333333333,301522.9166666667,353367.4583333333,414150.0,429162.5,448895.4166666667,454625.3333333333,450000.0
washington county,OR,Portland-Vancouver-Hillsboro,41,67,120,258516.66666666666,238658.33333333334,240332.875,277148.75,297641.25,322386.5833333333,381041.6666666667,421225.0,437141.25,441450.0
lancaster county,PA,Lancaster,42,71,121,188649.16666666666,187279.16666666666,186386.16666666666,199682.5,215769.375,225947.95833333334,237202.95833333334,243545.79166666666,256544.41666666666,271975.0
douglas county,NE,Omaha-Council Bluffs,31,55,122,138483.33333333334,135108.33333333334,136372.91666666666,139927.75,147908.33333333334,170235.20833333334,191733.25,226345.83333333334,239402.08333333334,227500.0
utah county,UT,Provo-Orem,49,49,123,208177.91666666666,196162.95833333334,206333.33333333334,233195.0,257339.58333333334,290025.0,302870.5,329670.8333333333,350104.5833333333,356450.0
kane county,IL,Chicago-Naperville-Elgin,17,89,124,221175.41666666666,187931.58333333334,186513.33333333334,206970.41666666666,234535.83333333334,248325.0,268765.9583333333,273904.1666666667,277973.9583333333,277450.0
stanislaus county,CA,Modesto,6,99,125,253047.54166666666,253047.54166666666,253047.54166666666,253047.54166666666,253047.54166666666,269210.2083333333,289786.1666666667,306379.1666666667,329457.3333333333,327000.0
camden county,NJ,Philadelphia-Camden-Wilmington,34,7,126,192922.25,178728.33333333334,166930.16666666666,162982.91666666666,162995.83333333334,155733.33333333334,156615.125,156883.25,167176.70833333334,170950.0
ramsey county,MN,Minneapolis-St. Paul-Bloomington,27,123,127,164020.83333333334,142320.41666666666,151979.16666666666,175545.83333333334,192071.25,206395.83333333334,216941.66666666666,235129.16666666666,249450.0,252450.0
passaic county,NJ,New York-Newark-Jersey City,34,31,128,345158.3333333333,312210.6666666667,290466.6666666667,291753.1666666667,289733.3333333333,292300.0,289490.6666666667,293528.5416666667,321248.9166666667,322450.0
chester county,PA,Philadelphia-Camden-Wilmington,42,29,129,339200.0,325291.6666666667,314056.0,318818.3333333333,331592.7916666667,335111.7083333333,352150.25,376426.1666666667,392124.125,393700.0
sedgwick county,KS,Wichita,20,173,130,136818.70833333334,130883.33333333333,130516.66666666667,130523.95833333333,139778.95833333334,146529.16666666666,154139.33333333334,164950.0,176391.66666666666,176000.0
lake county,IN,Chicago-Naperville-Elgin,18,89,131,140850.0,135868.29166666666,130824.75,131825.375,134112.5,141655.625,147266.66666666666,169071.58333333334,184392.54166666666,182550.0
plymouth county,MA,Boston-Cambridge-Newton,25,23,132,335729.1666666667,315443.75,315981.2083333333,340109.375,357991.5833333333,361033.3333333333,390477.0833333333,416328.7083333333,435870.8333333333,434675.0
volusia county,FL,Deltona-Daytona Beach-Ormond Beach,12,127,133,166149.16666666666,150277.91666666666,151678.75,168998.33333333334,178750.70833333334,196191.54166666666,221041.58333333334,232576.25,242908.25,244400.0
morris county,NJ,New York-Newark-Jersey City,34,27,134,447449.4583333333,418108.3333333333,400692.8333333333,403241.5833333333,435612.5,454037.2916666667,455700.0,462490.8333333333,477254.1666666667,473950.0
guilford county,NC,Greensboro-High Point,37,81,135,156266.66666666666,148032.45833333334,143608.33333333334,148183.33333333334,158978.75,171482.08333333334,177623.125,184290.83333333334,189593.75,195950.0
dane county,WI,Madison,55,25,136,217041.66666666666,205741.66666666666,201608.33333333334,214700.0,232914.58333333334,254608.33333333334,283583.3333333333,297520.8333333333,319691.6666666667,332400.0
sonoma county,CA,Santa Rosa,6,97,137,408512.5,361949.375,394832.4166666667,483046.6666666667,498708.2916666667,555443.7083333334,610945.8333333334,664956.25,684321.0416666666,648000.0
spokane county,WA,Spokane-Spokane Valley,53,63,138,196541.66666666666,181356.33333333334,176779.16666666666,177133.125,187815.70833333334,201901.08333333334,213545.41666666666,233132.5,261713.25,269750.0
richmond county,NY,New York-Newark-Jersey City,36,85,139,402208.3333333333,394579.1666666667,379862.5,377974.9583333333,397691.5,433133.25,475333.2083333333,536583.125,566311.8333333334,564424.5
onondaga county,NY,Syracuse,36,67,140,153533.33333333334,150400.0,153099.58333333334,158208.33333333334,165141.625,152372.91666666666,147591.66666666666,148710.0,155333.33333333334,152500.0
pasco county,FL,Tampa-St. Petersburg-Clearwater,12,101,141,143116.66666666666,126234.16666666667,126670.79166666667,147530.79166666666,164293.75,175036.08333333334,192851.16666666666,220416.25,233958.625,235637.5
hampden county,MA,Springfield,25,13,142,183783.33333333334,170108.33333333334,172733.33333333334,183949.91666666666,188300.0,184452.08333333334,190112.5,204066.66666666666,214875.0,202499.5
montgomery county,TX,Houston-The Woodlands-Sugar Land,48,339,143,216345.58333333334,205399.08333333334,208791.08333333334,246213.33333333334,287163.9166666667,325789.5416666667,320531.8333333333,310496.2083333333,308453.3333333333,299749.5
greenville county,SC,Greenville-Anderson-Mauldin,45,45,144,171193.75,162350.0,170154.16666666666,180685.375,197123.29166666666,220542.41666666666,246984.66666666666,267100.9583333333,266812.9166666667,266162.5
